Model,MDO32
-4.365e-05,19.552
-4.364e-05,19.448
-4.363e-05,19.448
-4.362e-05,19.448
-4.361e-05,19.448
-4.360e-05,19.552
-4.359e-05,19.448
-4.358e-05,19.552
-4.357e-05,19.448
-4.356e-05,19.448
-4.355e-05,19.448
-4.354e-05,19.448
-4.353e-05,19.448
-4.352e-05,19.552
-4.351e-05,19.448
-4.350e-05,19.552
-4.349e-05,19.448
-4.348e-05,19.552
-4.347e-05,19.448
-4.346e-05,19.344
-4.345e-05,19.448
-4.344e-05,19.448
-4.343e-05,19.448
-4.342e-05,19.448
-4.341e-05,19.448
-4.340e-05,19.448
-4.339e-05,19.448
-4.338e-05,19.448
-4.337e-05,19.448
-4.336e-05,19.448
-4.335e-05,19.448
-4.334e-05,19.448
-4.333e-05,19.448
-4.332e-05,19.448
-4.331e-05,19.552
-4.330e-05,19.448
-4.329e-05,19.448
-4.328e-05,19.448
-4.327e-05,19.448
-4.326e-05,19.448
-4.325e-05,19.448
-4.324e-05,19.448
-4.323e-05,19.448
-4.322e-05,19.448
-4.321e-05,19.448
-4.320e-05,19.448
-4.319e-05,19.448
-4.318e-05,19.448
-4.317e-05,19.448
-4.316e-05,19.448
-4.315e-05,19.448
-4.314e-05,19.448
-4.313e-05,19.448
-4.312e-05,19.448
-4.311e-05,19.552
-4.310e-05,19.448
-4.309e-05,19.448
-4.308e-05,19.448
-4.307e-05,19.448
-4.306e-05,19.448
-4.305e-05,19.448
-4.304e-05,19.344
-4.303e-05,19.552
-4.302e-05,19.448
-4.301e-05,19.448
-4.300e-05,19.448
-4.299e-05,19.448
-4.298e-05,19.448
-4.297e-05,19.448
-4.296e-05,19.448
-4.295e-05,19.448
-4.294e-05,19.448
-4.293e-05,19.448
-4.292e-05,19.448
-4.291e-05,19.344
-4.290e-05,19.448
-4.289e-05,19.552
-4.288e-05,19.448
-4.287e-05,19.448
-4.286e-05,19.552
-4.285e-05,19.448
-4.284e-05,19.448
-4.283e-05,19.448
-4.282e-05,19.448
-4.281e-05,19.448
-4.280e-05,19.448
-4.279e-05,19.552
-4.278e-05,19.448
-4.277e-05,19.448
-4.276e-05,19.448
-4.275e-05,19.448
-4.274e-05,19.448
-4.273e-05,19.448
-4.272e-05,19.448
-4.271e-05,19.448
-4.270e-05,19.552
-4.269e-05,19.448
-4.268e-05,19.448
-4.267e-05,19.448
-4.266e-05,19.448
-4.265e-05,19.448
-4.264e-05,19.448
-4.263e-05,19.552
-4.262e-05,19.552
-4.261e-05,19.448
-4.260e-05,19.552
-4.259e-05,19.448
-4.258e-05,19.448
-4.257e-05,19.448
-4.256e-05,19.552
-4.255e-05,19.448
-4.254e-05,19.448
-4.253e-05,19.448
-4.252e-05,19.448
-4.251e-05,19.448
-4.250e-05,19.552
-4.249e-05,19.448
-4.248e-05,19.448
-4.247e-05,19.552
-4.246e-05,19.448
-4.245e-05,19.448
-4.244e-05,19.448
-4.243e-05,19.552
-4.242e-05,19.552
-4.241e-05,19.448
-4.240e-05,19.448
-4.239e-05,19.552
-4.238e-05,19.448
-4.237e-05,19.448
-4.236e-05,19.448
-4.235e-05,19.448
-4.234e-05,19.344
-4.233e-05,19.448
-4.232e-05,19.552
-4.231e-05,19.448
-4.230e-05,19.448
-4.229e-05,19.448
-4.228e-05,19.448
-4.227e-05,19.448
-4.226e-05,19.448
-4.225e-05,19.448
-4.224e-05,19.552
-4.223e-05,19.448
-4.222e-05,19.448
-4.221e-05,19.448
-4.220e-05,19.448
-4.219e-05,19.448
-4.218e-05,19.448
-4.217e-05,19.448
-4.216e-05,19.448
-4.215e-05,19.448
-4.214e-05,19.448
-4.213e-05,19.448
-4.212e-05,19.448
-4.211e-05,19.448
-4.210e-05,19.448
-4.209e-05,19.448
-4.208e-05,19.448
-4.207e-05,19.448
-4.206e-05,19.448
-4.205e-05,19.448
-4.204e-05,19.344
-4.203e-05,19.552
-4.202e-05,19.448
-4.201e-05,19.448
-4.200e-05,19.448
-4.199e-05,19.448
-4.198e-05,19.448
-4.197e-05,19.448
-4.196e-05,19.448
-4.195e-05,19.448
-4.194e-05,19.448
-4.193e-05,19.448
-4.192e-05,19.552
-4.191e-05,19.448
-4.190e-05,19.552
-4.189e-05,19.448
-4.188e-05,19.448
-4.187e-05,19.448
-4.186e-05,19.448
-4.185e-05,19.448
-4.184e-05,19.448
-4.183e-05,19.448
-4.182e-05,19.448
-4.181e-05,19.448
-4.180e-05,19.448
-4.179e-05,19.448
-4.178e-05,19.552
-4.177e-05,19.448
-4.176e-05,19.448
-4.175e-05,19.448
-4.174e-05,19.448
-4.173e-05,19.344
-4.172e-05,19.448
-4.171e-05,19.448
-4.170e-05,19.448
-4.169e-05,19.448
-4.168e-05,19.448
-4.167e-05,19.448
-4.166e-05,19.448
-4.165e-05,19.448
-4.164e-05,19.448
-4.163e-05,19.448
-4.162e-05,19.448
-4.161e-05,19.448
-4.160e-05,19.448
-4.159e-05,19.448
-4.158e-05,19.552
-4.157e-05,19.448
-4.156e-05,19.448
-4.155e-05,19.448
-4.154e-05,19.448
-4.153e-05,19.448
-4.152e-05,19.448
-4.151e-05,19.448
-4.150e-05,19.448
-4.149e-05,19.448
-4.148e-05,19.448
-4.147e-05,19.448
-4.146e-05,19.552
-4.145e-05,19.448
-4.144e-05,19.448
-4.143e-05,19.448
-4.142e-05,19.448
-4.141e-05,19.448
-4.140e-05,19.448
-4.139e-05,19.344
-4.138e-05,19.448
-4.137e-05,19.448
-4.136e-05,19.448
-4.135e-05,19.448
-4.134e-05,19.552
-4.133e-05,19.552
-4.132e-05,19.448
-4.131e-05,19.552
-4.130e-05,19.344
-4.129e-05,19.552
-4.128e-05,19.448
-4.127e-05,19.448
-4.126e-05,19.552
-4.125e-05,19.448
-4.124e-05,19.448
-4.123e-05,19.448
-4.122e-05,19.448
-4.121e-05,19.448
-4.120e-05,19.448
-4.119e-05,19.448
-4.118e-05,19.448
-4.117e-05,19.448
-4.116e-05,19.448
-4.115e-05,19.448
-4.114e-05,19.448
-4.113e-05,19.448
-4.112e-05,19.448
-4.111e-05,19.448
-4.110e-05,19.448
-4.109e-05,19.448
-4.108e-05,19.448
-4.107e-05,19.448
-4.106e-05,19.448
-4.105e-05,19.344
-4.104e-05,19.448
-4.103e-05,19.448
-4.102e-05,19.448
-4.101e-05,19.448
-4.100e-05,19.552
-4.099e-05,19.448
-4.098e-05,19.448
-4.097e-05,19.448
-4.096e-05,19.344
-4.095e-05,19.448
-4.094e-05,19.448
-4.093e-05,19.448
-4.092e-05,19.448
-4.091e-05,19.552
-4.090e-05,19.448
-4.089e-05,19.448
-4.088e-05,19.448
-4.087e-05,19.552
-4.086e-05,19.448
-4.085e-05,19.448
-4.084e-05,19.448
-4.083e-05,19.448
-4.082e-05,19.448
-4.081e-05,19.448
-4.080e-05,19.448
-4.079e-05,19.448
-4.078e-05,19.448
-4.077e-05,19.448
-4.076e-05,19.448
-4.075e-05,19.448
-4.074e-05,19.448
-4.073e-05,19.448
-4.072e-05,19.448
-4.071e-05,19.448
-4.070e-05,19.448
-4.069e-05,19.448
-4.068e-05,19.448
-4.067e-05,19.552
-4.066e-05,19.448
-4.065e-05,19.448
-4.064e-05,19.448
-4.063e-05,19.448
-4.062e-05,19.448
-4.061e-05,19.448
-4.060e-05,19.448
-4.059e-05,19.448
-4.058e-05,19.448
-4.057e-05,19.552
-4.056e-05,19.448
-4.055e-05,19.448
-4.054e-05,19.448
-4.053e-05,19.344
-4.052e-05,19.448
-4.051e-05,19.552
-4.050e-05,19.552
-4.049e-05,19.448
-4.048e-05,19.448
-4.047e-05,19.552
-4.046e-05,19.552
-4.045e-05,19.552
-4.044e-05,19.448
-4.043e-05,19.448
-4.042e-05,19.448
-4.041e-05,19.448
-4.040e-05,19.552
-4.039e-05,19.448
-4.038e-05,19.448
-4.037e-05,19.448
-4.036e-05,19.448
-4.035e-05,19.448
-4.034e-05,19.448
-4.033e-05,19.448
-4.032e-05,19.448
-4.031e-05,19.448
-4.030e-05,19.448
-4.029e-05,19.448
-4.028e-05,19.448
-4.027e-05,19.448
-4.026e-05,19.552
-4.025e-05,19.448
-4.024e-05,19.448
-4.023e-05,19.448
-4.022e-05,19.448
-4.021e-05,19.448
-4.020e-05,19.448
-4.019e-05,19.552
-4.018e-05,19.448
-4.017e-05,19.448
-4.016e-05,19.448
-4.015e-05,19.448
-4.014e-05,19.448
-4.013e-05,19.448
-4.012e-05,19.448
-4.011e-05,19.448
-4.010e-05,19.448
-4.009e-05,19.448
-4.008e-05,19.448
-4.007e-05,19.448
-4.006e-05,19.448
-4.005e-05,19.448
-4.004e-05,19.448
-4.003e-05,19.448
-4.002e-05,19.552
-4.001e-05,19.448
-4.000e-05,19.448
-3.999e-05,19.448
-3.998e-05,19.448
-3.997e-05,19.448
-3.996e-05,19.448
-3.995e-05,19.448
-3.994e-05,19.448
-3.993e-05,19.448
-3.992e-05,19.448
-3.991e-05,19.552
-3.990e-05,19.552
-3.989e-05,19.448
-3.988e-05,19.448
-3.987e-05,19.552
-3.986e-05,19.448
-3.985e-05,19.552
-3.984e-05,19.448
-3.983e-05,19.552
-3.982e-05,19.448
-3.981e-05,19.448
-3.980e-05,19.448
-3.979e-05,19.448
-3.978e-05,19.448
-3.977e-05,19.448
-3.976e-05,19.448
-3.975e-05,19.344
-3.974e-05,19.448
-3.973e-05,19.448
-3.972e-05,19.448
-3.971e-05,19.448
-3.970e-05,19.448
-3.969e-05,19.448
-3.968e-05,19.448
-3.967e-05,19.448
-3.966e-05,19.448
-3.965e-05,19.448
-3.964e-05,19.448
-3.963e-05,19.448
-3.962e-05,19.552
-3.961e-05,19.448
-3.960e-05,19.448
-3.959e-05,19.448
-3.958e-05,19.448
-3.957e-05,19.448
-3.956e-05,19.448
-3.955e-05,19.448
-3.954e-05,19.448
-3.953e-05,19.448
-3.952e-05,19.448
-3.951e-05,19.448
-3.950e-05,19.448
-3.949e-05,19.448
-3.948e-05,19.448
-3.947e-05,19.448
-3.946e-05,19.448
-3.945e-05,19.448
-3.944e-05,19.552
-3.943e-05,19.448
-3.942e-05,19.448
-3.941e-05,19.448
-3.940e-05,19.448
-3.939e-05,19.448
-3.938e-05,19.448
-3.937e-05,19.448
-3.936e-05,19.448
-3.935e-05,19.552
-3.934e-05,19.448
-3.933e-05,19.448
-3.932e-05,19.448
-3.931e-05,19.448
-3.930e-05,19.448
-3.929e-05,19.448
-3.928e-05,19.448
-3.927e-05,19.448
-3.926e-05,19.448
-3.925e-05,19.448
-3.924e-05,19.448
-3.923e-05,19.448
-3.922e-05,19.448
-3.921e-05,19.448
-3.920e-05,19.448
-3.919e-05,19.448
-3.918e-05,19.448
-3.917e-05,19.552
-3.916e-05,19.552
-3.915e-05,19.448
-3.914e-05,19.448
-3.913e-05,19.552
-3.912e-05,19.552
-3.911e-05,19.448
